Countries,Education Expenditure ($M)
United States ,"1,014,715.40"
United Kingdom ,"148,933.50"
Germany ,"197,848.90"
France ,"150,980.20"
Japan ,"155,149.20"
Spain ,"59,476.40"
Italy ,"89,075.90"
Portugal ,"11,333.70"
Greece ,"7,631.60"
Ireland ,"13,093.50"
Andorra ,95.9
United Arab Emirates ,"13,559.10"
Afghanistan ,606.6
Antigua and Barbuda ,56.4
Albania ,470
Armenia ,342.1
Angola ,"1,380.00"
Argentina ,"21,344.50"
Austria ,"23,781.90"
Australia ,"72,600.80"
Azerbaijan ,"1,291.60"
Barbados ,314.2
Bangladesh ,"4,658.50"
Belgium ,"34,685.70"
Burkina Faso ,991.2
Bulgaria ,"2,417.50"
Bahrain ,745.1
Burundi ,133.6
Benin ,470.8
Brunei ,504.5
Bolivia ,"3,611.70"
Brazil ,"116,712.70"
Bahamas ,311.9
Bhutan ,139.2
Botswana ,"1,304.90"
Belarus ,"3,036.40"
Belize ,217
Canada ,"94,365.80"
Democratic Republic of the Congo ,"1,494.50"
Central African Republic ,51.8
Republic of the Congo ,467.2
Switzerland ,"35,295.90"
Côte d'Ivoire ,"2,167.50"
Chile ,"16,051.10"
Cameroon ,"1,293.80"
China ,"530,593.50"
Colombia ,"13,326.80"
Costa Rica ,"4,186.30"
Cuba ,"7,646.30"
Cabo Verde ,141.9
Cyprus ,"1,311.70"
Czechia ,"10,624.70"
Djibouti ,105.7
Denmark ,"24,239.40"
Dominica ,23.7
Dominican Republic ,"3,645.20"
Algeria ,"10,472.70"
Ecuador ,"4,104.80"
Estonia ,"1,612.60"
Egypt ,"9,486.60"
Eritrea ,19.9
Ethiopia ,"4,065.40"
Finland ,"17,309.70"
Fiji ,277.8
Federated States of Micronesia ,39
Gabon ,488
Grenada ,41.5
Georgia ,610.1
Ghana ,"2,613.80"
The Gambia ,50
Guinea ,311.8
Equatorial Guinea ,14.8
Guatemala ,"2,561.40"
Guinea-Bissau ,41.2
Guyana ,213.1
Hong Kong ,"15,199.30"
Honduras ,"1,523.50"
Croatia ,"2,397.60"
Haiti ,268.5
Hungary ,"7,422.60"
Indonesia ,"31,813.10"
Israel ,"23,024.70"
India ,"119,533.30"
Iraq ,"7,903.70"
Iran ,"7,024.20"
Iceland ,"1,985.80"
Jamaica ,884.5
Jordan ,"1,346.50"
Kenya ,"5,295.60"
Kyrgyzstan ,476.1
Cambodia ,529.6
Kiribati ,21.7
Comoros ,24.6
Saint Kitts and Nevis ,47.6
South Korea ,"76,909.00"
Kuwait ,"6,941.00"
Kazakhstan ,"5,190.20"
Laos ,412.8
Lebanon ,"1,318.80"
Saint Lucia ,54.2
Liechtenstein ,146.7
Sri Lanka ,"1,718.00"
Liberia ,94.5
Lesotho ,221.9
Lithuania ,"2,093.50"
Luxembourg ,"2,590.90"
Latvia ,"1,461.70"
Libya ,840.7
Morocco ,"8,196.20"
Monaco ,85.1
Moldova ,736.7
Madagascar ,404
Marshall Islands ,37.2
North Macedonia ,131.7
Mali ,664
Myanmar ,"1,472.30"
Mongolia ,701.9
Mauritania ,162
Malta ,627
Mauritius ,525.4
Maldives ,230.7
Malawi ,344.5
Mexico ,"52,003.80"
Malaysia ,"13,224.20"
Mozambique ,886.3
Namibia ,"1,186.50"
Niger ,528.2
Nigeria ,851.1
Nicaragua ,582.7
Netherlands ,"48,993.50"
Norway ,"33,618.00"
Nepal ,"1,467.80"
Nauru ,6.4
New Zealand ,"12,679.00"
Oman ,"4,766.90"
Panama ,"2,108.40"
Peru ,"8,740.50"
Papua New Guinea ,452
Philippines ,"14,035.90"
Pakistan ,"8,051.00"
Poland ,"27,178.00"
State of Palestine ,865.8
Palau ,19.1
Paraguay ,"1,170.50"
Qatar ,"4,669.80"
Romania ,"8,144.40"
Serbia ,"1,863.00"
Russia ,"77,330.90"
Rwanda ,422.9
Saudi Arabia ,"57,341.50"
Solomon Islands ,195.8
Seychelles ,65
Sudan ,"1,108.40"
Sweden ,"42,441.40"
Singapore ,"8,733.00"
Slovenia ,"2,675.30"
Slovakia ,"4,218.30"
Sierra Leone ,357.6
San Marino ,54.6
Senegal ,"1,348.80"
Somalia ,6.5
Suriname ,144.4
South Sudan ,17.7
Sao Tome and Principe ,23.9
El Salvador ,910
Syria ,"2,767.10"
Eswatini ,237
Chad ,312.9
Togo ,302.8
Thailand ,"16,149.00"
Tajikistan ,474.2
Timor-Leste ,105.2
Turkmenistan ,"1,652.70"
Tunisia ,"3,249.10"
Tonga ,40.7
Türkiye ,"33,480.60"
Trinidad and Tobago ,864.2
Tuvalu ,0.5
Tanzania ,"2,306.40"
Ukraine ,"8,374.40"
Uganda ,"1,144.40"
Uruguay ,"2,880.20"
Uzbekistan ,"2,964.80"
Saint Vincent and the Grenadines ,50.3
Venezuela ,"1,557.60"
Viet Nam ,"13,478.30"
Vanuatu ,20.4
Samoa ,41.7
Yemen ,"1,386.30"
South Africa ,"20,902.30"
Zambia ,670.5
Zimbabwe ,"1,428.30"
