Countries,Annual GDP
Afghanistan ,"14,583"
Albania ,"18,882"
Algeria ,"191,913"
Andorra ,"3,352"
Angola ,"106,714"
Antigua and Barbuda ,"1,758"
Argentina ,"632,770"
Armenia ,"19,503"
Australia ,"1,701,893"
Austria ,"471,685"
Azerbaijan ,"78,721"
Bahamas ,"12,897"
Bahrain ,"44,391"
Bangladesh ,"460,201"
Barbados ,"5,638"
Belarus ,"73,120"
Belgium ,"582,210"
Belize ,"2,824"
Benin ,"17,402"
Bhutan ,"2,442"
Bolivia ,"43,069"
Bosnia and Herzegovina ,"24,528"
Botswana ,"20,352"
Brazil ,"1,924,134"
Brunei ,"16,682"
Bulgaria ,"89,115"
Burkina Faso ,"18,885"
Burundi ,"3,073"
Cabo Verde ,"2,315"
Cambodia ,"29,599"
Cameroon ,"44,342"
Canada ,"2,139,840"
Central African Republic ,"2,383"
Chad ,"12,704"
Chile ,"300,729"
China ,"18,100,044"
Colombia ,"343,939"
Comoros ,"1,243"
Costa Rica ,"68,385"
Côte d'Ivoire ,"70,019"
Croatia ,"70,965"
Cuba ,"545,218"
Cyprus ,"28,467"
Czechia ,"290,924"
Democratic Republic of the Congo ,"58,066"
Denmark ,"390,677"
Djibouti ,"3,515"
Dominica ,612
Dominican Republic ,"113,642"
Ecuador ,"115,049"
Egypt ,"475,231"
El Salvador ,"32,489"
Equatorial Guinea ,"11,814"
Eritrea ,"1,982"
Estonia ,"38,131"
Eswatini ,"4,854"
Ethiopia ,"126,783"
Federated States of Micronesia ,427
Fiji ,"4,943"
Finland ,"281,047"
France ,"2,782,905"
Gabon ,"21,072"
Georgia ,"24,605"
Germany ,"4,075,395"
Ghana ,"72,839"
Greece ,"219,237"
Grenada ,"1,256"
Guatemala ,"95,003"
Guinea ,"21,228"
Guinea-Bissau ,"1,634"
Guyana ,"15,358"
Haiti ,"20,254"
Honduras ,"31,718"
Hungary ,"178,789"
Iceland ,"27,842"
India ,"3,386,403"
Indonesia ,"1,318,807"
Iran ,"352,213"
Iraq ,"264,182"
Ireland ,"529,661"
Israel ,"522,033"
Italy ,"2,012,013"
Jamaica ,"17,098"
Japan ,"4,233,538"
Jordan ,"47,451"
Kazakhstan ,"220,623"
Kenya ,"113,420"
Kiribati ,223
Kuwait ,"184,558"
Kyrgyzstan ,"10,931"
Laos ,"15,724"
Latvia ,"42,225"
Lebanon ,"23,132"
Lesotho ,"2,553"
Liberia ,"4,001"
Libya ,"45,752"
Liechtenstein ,"7,186"
Lithuania ,"70,523"
Luxembourg ,"82,340"
Madagascar ,"15,233"
Malawi ,"13,165"
Malaysia ,"406,306"
Maldives ,"6,190"
Mali ,"18,827"
Malta ,"17,779"
Marshall Islands ,280
Mauritania ,"10,375"
Mauritius ,"12,772"
Mexico ,"1,414,101"
Moldova ,"14,410"
Monaco ,"8,596"
Mongolia ,"16,811"
Montenegro ,"6,096"
Morocco ,"134,182"
Mozambique ,"17,851"
Myanmar ,"59,364"
Namibia ,"12,345"
Nauru ,151
Nepal ,"40,828"
Netherlands ,"993,681"
New Zealand ,"247,234"
Nicaragua ,"15,672"
Niger ,"13,970"
Nigeria ,"477,376"
North Korea ,"17,365"
North Macedonia ,"13,563"
Norway ,"579,267"
Oman ,"114,667"
Pakistan ,"376,533"
Palau ,225
Panama ,"76,523"
Papua New Guinea ,"30,633"
Paraguay ,"41,722"
Peru ,"242,632"
Philippines ,"404,261"
Poland ,"688,301"
Portugal ,"252,381"
Qatar ,"237,296"
Republic of the Congo ,"14,616"
Romania ,"301,845"
Russia ,"2,240,422"
Rwanda ,"13,313"
Saint Kitts and Nevis ,962
Saint Lucia ,"2,065"
Saint Vincent and the Grenadines ,949
Samoa ,832
San Marino ,"1,855"
Sao Tome and Principe ,547
Saudi Arabia ,"1,108,149"
Senegal ,"27,684"
Serbia ,"63,502"
Seychelles ,"1,588"
Sierra Leone ,"3,970"
Singapore ,"466,789"
Slovakia ,"113,529"
Slovenia ,"62,167"
Solomon Islands ,"1,596"
Somalia ,"8,126"
South Africa ,"405,705"
South Korea ,"1,673,260"
South Sudan ,"3,118"
Spain ,"1,400,520"
Sri Lanka ,"74,404"
Sudan ,"51,662"
Suriname ,"3,621"
Sweden ,"585,939"
Switzerland ,"807,234"
Syria ,"11,159"
Tajikistan ,"10,467"
Tanzania ,"75,709"
Thailand ,"495,341"
The Gambia ,"2,273"
Timor-Leste ,"3,163"
Togo ,"8,126"
Tonga ,470
Trinidad and Tobago ,"27,899"
Tunisia ,"46,665"
Türkiye ,"905,527"
Turkmenistan ,"64,367"
Tuvalu ,60
Uganda ,"45,559"
Ukraine ,"160,503"
United Arab Emirates ,"507,535"
United Kingdom ,"3,070,600"
United States ,"25,744,100"
Uruguay ,"71,177"
Uzbekistan ,"80,392"
Vanuatu ,984
Venezuela ,"102,021"
Viet Nam ,"406,452"
Yemen ,"21,062"
Zambia ,"29,784"
Zimbabwe ,"20,678"
