"Countries","Crude Oil Reserves"
"United States [+]","44,418.00"
"United Kingdom [+]","2,500.00"
"Germany [+]","115.2"
"France [+]","61.7"
"Japan [+]","44.1"
"Spain [+]","150"
"Italy [+]","497.9"
"Greece [+]","10"
"United Arab Emirates [+]","97,800.00"
"Albania [+]","150"
"Angola [+]","7,783.00"
"Argentina [+]","2,482.70"
"Austria [+]","35.2"
"Australia [+]","2,446.00"
"Azerbaijan [+]","7,000.00"
"Barbados [+]","2"
"Bangladesh [+]","28"
"Bulgaria [+]","15"
"Bahrain [+]","186.5"
"Benin [+]","8"
"Brunei [+]","1,100.00"
"Bolivia [+]","240.9"
"Brazil [+]","12,714.60"
"Belarus [+]","198"
"Belize [+]","6.7"
"Canada [+]","170,300.00"
"Democratic Republic of the Congo [+]","180"
"Republic of the Congo [+]","2,882.00"
"Côte d'Ivoire [+]","100"
"Chile [+]","150"
"Cameroon [+]","200"
"China [+]","26,022.60"
"Colombia [+]","2,036.00"
"Cuba [+]","124"
"Czechia [+]","15"
"Denmark [+]","441"
"Algeria [+]","12,200.00"
"Ecuador [+]","8,273.00"
"Egypt [+]","3,300.00"
"Ethiopia [+]","0.4"
"Gabon [+]","2,000.00"
"Georgia [+]","35"
"Ghana [+]","660"
"Equatorial Guinea [+]","1,100.00"
"Guatemala [+]","86.1"
"Croatia [+]","71"
"Hungary [+]","12.1"
"Indonesia [+]","2,480.00"
"Israel [+]","12.7"
"India [+]","4,604.90"
"Iraq [+]","145,019.00"
"Iran [+]","208,600.00"
"Jordan [+]","1"
"Kyrgyzstan [+]","40"
"Kuwait [+]","101,500.00"
"Kazakhstan [+]","30,000.00"
"Lithuania [+]","12"
"Libya [+]","48,363.00"
"Morocco [+]","0.7"
"Myanmar [+]","139"
"Mauritania [+]","20"
"Mexico [+]","5,786.10"
"Malaysia [+]","3,600.00"
"Niger [+]","150"
"Nigeria [+]","36,890.00"
"Netherlands [+]","137.7"
"Norway [+]","8,122.20"
"New Zealand [+]","41"
"Oman [+]","5,373.00"
"Peru [+]","858.9"
"Papua New Guinea [+]","159.7"
"Philippines [+]","138.5"
"Pakistan [+]","540"
"Poland [+]","113"
"Qatar [+]","25,244.00"
"Romania [+]","600"
"Serbia [+]","77.5"
"Russia [+]","80,000.00"
"Saudi Arabia [+]","258,600.00"
"Sudan [+]","1,250.00"
"Slovakia [+]","9"
"Suriname [+]","89"
"South Sudan [+]","3,750.00"
"Syria [+]","2,500.00"
"Chad [+]","1,500.00"
"Thailand [+]","252.8"
"Tajikistan [+]","12"
"Turkmenistan [+]","600"
"Tunisia [+]","425"
"Türkiye [+]","366"
"Trinidad and Tobago [+]","243"
"Taiwan [+]","2.4"
"Ukraine [+]","395"
"Uganda [+]","2,500.00"
"Uzbekistan [+]","594"
"Venezuela [+]","303,806.00"
"Viet Nam [+]","4,400.00"
"Yemen [+]","3,000.00"
"South Africa [+]","15"
